,timestamp,open,high,low,close,volume
0,2020-04-27,180.0,182.9,175.5,182.05,9141625
1,2020-04-24,179.95,180.8,177.15,177.75,4641139
2,2020-04-23,179.4,182.6,177.1,180.9,5552230
3,2020-04-22,177.0,179.5,175.05,178.55,5310949
4,2020-04-21,179.0,179.9,173.8,178.05,9043309
5,2020-04-20,189.0,189.0,180.15,181.1,8101513
6,2020-04-17,192.5,193.75,185.55,187.0,6606447
7,2020-04-16,180.0,189.75,180.0,187.85,21690423
8,2020-04-15,190.05,193.6,185.8,186.55,11326003
9,2020-04-13,198.0,198.0,182.9,189.2,6192188
10,2020-04-09,198.4,202.95,195.05,196.7,3465173
11,2020-04-08,191.5,200.0,188.8,192.9,5137654
12,2020-04-07,188.25,192.7,183.05,191.9,4781431
13,2020-04-03,188.0,189.6,177.75,180.0,6573737
14,2020-04-01,195.7,195.7,187.0,189.5,4937834
15,2020-03-31,187.0,199.8,185.65,196.7,5307626
16,2020-03-30,181.1,187.4,179.35,184.15,3667402
17,2020-03-27,183.15,189.5,181.5,183.5,6767560
18,2020-03-26,176.95,186.8,172.5,182.6,5123845
19,2020-03-25,177.4,188.0,170.2,174.65,6728146
20,2020-03-24,168.5,181.75,168.05,176.35,6030781
21,2020-03-23,165.0,177.0,165.0,170.15,5360393
22,2020-03-20,163.1,185.8,162.5,179.2,10159745
23,2020-03-19,165.0,171.35,159.4,162.35,5990086
24,2020-03-18,176.7,178.5,168.5,169.95,6366599
25,2020-03-17,178.55,185.55,170.75,173.1,6087687
26,2020-03-16,193.95,193.95,178.55,179.75,5600574
27,2020-03-13,199.0,204.45,169.25,197.4,6521598
28,2020-03-12,204.0,206.95,197.5,199.1,5382005
29,2020-03-11,203.7,214.4,203.7,213.1,6135166
30,2020-03-09,220.2,221.0,213.0,214.4,8731114
31,2020-03-06,225.0,226.0,222.55,223.55,2934283
32,2020-03-05,229.05,233.9,228.65,229.7,2970778
33,2020-03-04,224.9,229.75,222.45,228.85,4518178
34,2020-03-03,224.0,225.8,220.6,223.7,5173113
35,2020-03-02,225.8,227.0,218.4,220.8,5766175
36,2020-02-28,228.5,229.5,219.7,221.45,5637309
37,2020-02-27,238.95,238.95,230.5,231.6,4866814
38,2020-02-26,243.05,243.45,238.4,239.9,3994194
39,2020-02-25,244.15,246.65,242.45,244.1,2529786
40,2020-02-24,245.0,247.8,242.4,244.2,3521975
41,2020-02-20,248.0,248.55,245.1,245.7,2120807
42,2020-02-19,244.5,248.35,244.5,247.6,1785384
43,2020-02-18,243.75,244.85,241.25,244.05,1252637
44,2020-02-17,242.9,245.0,241.95,243.8,1017778
45,2020-02-14,243.8,245.35,242.0,242.9,1809793
46,2020-02-13,245.8,245.8,242.5,243.75,2414955
47,2020-02-12,241.7,247.15,241.7,244.45,3419400
48,2020-02-11,240.55,242.9,239.8,241.25,2730310
49,2020-02-10,245.4,245.65,239.45,240.9,2258996
50,2020-02-07,247.0,247.0,242.95,243.95,2759512
51,2020-02-06,242.75,245.95,241.65,243.65,3056198
52,2020-02-05,241.6,243.0,237.3,242.25,3875603
53,2020-02-04,239.0,241.25,237.9,240.25,3164756
54,2020-02-03,237.7,240.15,235.25,237.4,4231830
55,2020-01-31,238.0,239.15,235.0,236.8,5553638
56,2020-01-30,247.6,247.6,240.2,240.7,2147465
57,2020-01-29,244.6,247.4,243.25,246.75,2004689
58,2020-01-28,245.9,246.1,241.8,244.05,2136181
59,2020-01-27,247.9,247.9,244.75,245.35,1653497
60,2020-01-24,248.65,249.45,246.25,247.6,1710777
61,2020-01-23,246.45,249.1,245.35,248.7,1696544
