Date,Open,High,Low,Close,Adj Close,Volume
2010-10-04,167.600006,170.199997,166.350006,166.899994,160.054977,685065
2010-10-05,167.399994,171.600006,164.949997,170.100006,163.123749,1470053
2010-10-06,172.250000,181.550003,171.250000,179.899994,172.521790,3351355
2010-10-07,182.899994,185.250000,180.000000,181.050003,173.624664,1625703
2010-10-08,183.050003,184.500000,180.399994,181.500000,174.056198,882766
2010-10-11,182.000000,183.600006,179.500000,180.500000,173.097214,472843
2010-10-12,180.500000,181.649994,175.000000,176.350006,169.117401,572523
2010-10-13,176.350006,178.000000,171.600006,171.949997,164.897842,2001885
2010-10-14,173.100006,174.350006,166.050003,166.899994,160.054977,2352455
2010-10-15,167.250000,169.800003,160.600006,161.899994,155.260056,2388253
2010-10-18,163.399994,163.399994,157.000000,158.949997,152.431030,1210587
2010-10-19,161.800003,167.899994,159.550003,165.550003,158.760345,2076053
2010-10-20,165.550003,166.949997,164.000000,164.750000,157.993164,842389
2010-10-21,165.899994,174.699997,165.100006,174.000000,166.863785,2298066
2010-10-22,175.050003,175.699997,169.550003,171.199997,164.178619,530558
2010-10-25,172.199997,173.899994,163.800003,164.300003,157.561600,1394953
2010-10-26,165.000000,166.500000,163.000000,163.850006,157.130081,1164317
2010-10-27,163.500000,164.899994,159.649994,160.350006,153.773605,1539430
2010-10-28,161.000000,162.949997,152.250000,154.399994,148.067642,3691083
2010-10-29,154.899994,155.800003,150.100006,151.899994,145.670151,2028773
2010-11-01,154.250000,158.750000,153.649994,155.199997,148.834808,1402657
2010-11-02,155.899994,156.000000,151.149994,153.149994,146.868881,1467943
2010-11-03,155.000000,160.699997,154.199997,159.899994,153.342072,2649767
2010-11-04,161.000000,163.000000,160.300003,161.199997,154.588760,835546
2010-11-08,162.500000,163.449997,160.199997,161.399994,154.780548,613082
2010-11-09,162.500000,165.000000,161.350006,162.250000,155.595688,601933
2010-11-10,162.500000,162.899994,159.550003,159.899994,153.342072,423032
2010-11-11,161.050003,161.649994,154.000000,155.399994,149.026611,1955709
2010-11-12,156.699997,158.850006,151.000000,151.850006,145.622223,1124521
2010-11-15,152.600006,153.449997,150.050003,151.550003,145.334518,606454
2010-11-16,152.949997,155.500000,147.149994,148.449997,142.361664,1473835
2010-11-18,150.000000,153.449997,147.000000,147.750000,141.690369,1823233
2010-11-19,148.550003,151.000000,144.000000,145.300003,139.340866,1042105
2010-11-22,145.399994,147.399994,140.699997,146.050003,140.060089,860599
2010-11-23,145.000000,147.000000,142.050003,145.350006,139.388794,977715
2010-11-24,147.699997,148.000000,142.300003,144.899994,138.957275,477765
2010-11-25,143.000000,145.250000,137.600006,139.050003,133.347183,874260
2010-11-26,139.949997,148.600006,114.000000,141.300003,135.504913,5075222
2010-11-29,141.000000,145.600006,133.550003,143.500000,137.614685,1118461
2010-11-30,143.500000,153.899994,139.149994,152.399994,146.149673,2214284
2010-12-01,150.250000,154.899994,150.199997,153.649994,147.348373,639181
2010-12-02,155.000000,155.899994,148.550003,150.350006,144.183746,520492
2010-12-03,150.000000,151.500000,144.399994,147.050003,141.019073,529009
2010-12-06,148.899994,149.750000,146.000000,147.000000,140.971130,268880
2010-12-07,148.100006,148.100006,144.600006,145.699997,139.724426,198780
2010-12-08,145.000000,145.949997,140.050003,141.500000,135.696686,387102
2010-12-09,142.100006,144.100006,136.550003,137.750000,132.100510,781461
2010-12-10,137.649994,149.699997,133.100006,146.600006,140.587524,1827567
2010-12-13,147.899994,149.699997,144.300003,148.250000,142.169876,362511
2010-12-14,151.000000,154.350006,148.949997,151.449997,145.238632,661078
2010-12-15,151.449997,151.899994,147.000000,148.300003,142.217834,385342
2010-12-16,149.899994,150.350006,146.600006,148.050003,141.978058,284245
2010-12-20,141.000000,145.449997,135.100006,144.300003,138.381866,1097483
2010-12-21,146.949997,150.500000,143.649994,149.699997,143.560379,638065
2010-12-22,150.500000,152.399994,148.500000,149.949997,143.800140,1484744
2010-12-23,150.000000,151.350006,143.250000,145.300003,139.340866,460088
2010-12-24,144.649994,145.399994,143.149994,143.750000,137.854431,546725
2010-12-27,145.000000,146.899994,143.100006,143.649994,137.758530,478728
2010-12-28,148.000000,148.000000,140.399994,140.850006,135.073364,941747
2010-12-29,142.000000,142.649994,140.300003,141.350006,135.552826,651864
2010-12-30,142.000000,142.850006,140.050003,141.699997,135.888504,665419
2010-12-31,142.449997,145.350006,142.000000,144.050003,138.142120,680716
2011-01-03,145.550003,146.399994,143.050003,145.050003,139.101120,487210
2011-01-04,146.949997,150.500000,144.550003,148.550003,142.457581,812777
2011-01-05,150.100006,158.800003,149.300003,157.600006,151.136414,3254352
2011-01-06,158.300003,160.000000,154.000000,154.949997,148.595062,1874274
2011-01-07,155.000000,155.300003,146.100006,147.250000,141.210876,781973
2011-01-10,147.300003,148.300003,139.250000,140.399994,134.641830,625006
2011-01-11,141.050003,142.750000,136.000000,139.050003,133.347183,1121192
2011-01-12,140.399994,140.850006,136.500000,139.750000,134.018463,1045506
2011-01-13,140.600006,143.699997,139.600006,141.399994,135.600784,797536
2011-01-14,141.000000,142.500000,138.000000,139.199997,133.491028,598460
2011-01-17,141.000000,141.000000,135.350006,137.100006,131.477158,397997
2011-01-18,137.500000,140.550003,137.500000,139.850006,134.114395,370616
2011-01-19,140.050003,142.000000,138.600006,139.800003,134.066437,379533
2011-01-20,139.000000,142.000000,137.649994,139.399994,133.682816,266418
